"Id","OwnerId","IsDeleted","Name","RecordTypeId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Account__c","LLC_BI__Amount__c","LLC_BI__Contact__c","LLC_BI__Initial_Deposit__c","LLC_BI__Interest_Rate__c","LLC_BI__Maturity_Date__c","LLC_BI__Notes__c","LLC_BI__Open_Date__c","LLC_BI__Product_Line__c","LLC_BI__Product_Type__c","LLC_BI__Product__c","LLC_BI__Stage__c","LLC_BI__Status__c","LLC_BI__isConvert__c","LLC_BI__Mailing_Address__c","LLC_BI__Application__c","LLC_BI__Product_Reference__c","LLC_BI__lookupKey__c","Interest_Rate__c","LLC_BI__Account_Number__c","LLC_BI__Funding_Amount__c","LLC_BI__Funding_Method__c","LLC_BI__Ownership_Structure_Type__c","LLC_BI__Product_Package__c","Full_Product_Name__c","Branch__c","LLC_BI__APY__c","LLC_BI__Additional_Terms__c","LLC_BI__Alternate_Signature_Description__c","LLC_BI__Annual_Rent_Amount__c","LLC_BI__Billing_Frequency_Other__c","LLC_BI__Billing_Frequency__c","LLC_BI__Billing_Type__c","LLC_BI__CD_Term__c","LLC_BI__CESA_Responsible_Individual_Indicator__c","LLC_BI__Certificate_Number__c","LLC_BI__Change_Designated_Beneficiary_Indicator__c","LLC_BI__Compounding_Frequency__c","LLC_BI__Death_Before_Required_Beginning__c","LLC_BI__Description_of_Keys__c","LLC_BI__Distribution_Payment_Type__c","LLC_BI__Distribution_Start_Date__c","LLC_BI__Durable_Agency__c","LLC_BI__Five_Year_Period_Ends_Year__c","LLC_BI__Frequency_of_Distributions__c","LLC_BI__IRA_Is_Self_Directed__c","LLC_BI__IRA_Plan_Type__c","LLC_BI__IRA_Recharacterization_Initial_Cont_Amt__c","LLC_BI__IRA_Recharacterization_Initial_Cont_Date__c","LLC_BI__IRA_Recharacterization_Type__c","LLC_BI__Index_Name__c","LLC_BI__Initial_Interest_Rate_Type__c","LLC_BI__Initial_Interest_Rate__c","LLC_BI__Initial_Rate_Indicator__c","LLC_BI__Initial_Rate_Margin__c","LLC_BI__Initial_Rate_Period_Number__c","LLC_BI__Initial_Rate_Period_Type__c","LLC_BI__Interest_Rate_Margin_Indicator__c","LLC_BI__Interest_Rate_Margin_Percent__c","LLC_BI__Interest_Rate_Type__c","LLC_BI__Interest_Withdrawal_Required__c","LLC_BI__Lease_Type_Other__c","LLC_BI__Life_Expectancy_Factor__c","LLC_BI__Maximum_Balance_Tiered_Account__c","LLC_BI__Maximum_Rate_Indicator__c","LLC_BI__Maximum_Rate__c","LLC_BI__Minimum_Balance_Tiered_Account__c","LLC_BI__Minimum_Rate_Indicator__c","LLC_BI__Minimum_Rate__c","LLC_BI__Negotiated_Compounding_Frequency__c","LLC_BI__Notice_Account_Maturity_Type__c","LLC_BI__Number_of_Agents_Required__c","LLC_BI__Number_of_Lessees_Required__c","LLC_BI__Other_Distribution_Payment__c","LLC_BI__Other_Frequency_of_Distributions__c","LLC_BI__Overdraft_Consent_Indicator__c","LLC_BI__Owner_Deceased_Indicator__c","LLC_BI__Payment_Account_Number__c","LLC_BI__Periodic_Change_Limit_Indicator__c","LLC_BI__Periods_Between_Rate_Changes__c","LLC_BI__Permanent_Rate_Effective_Date__c","LLC_BI__Prevent_Automatic_Renewal__c","LLC_BI__Rate_Change_Percent__c","LLC_BI__Rate_Change_Period_Type__c","LLC_BI__Rate_Change_Period__c","LLC_BI__Rate_Disclosure_As_Of_Date__c","LLC_BI__Rate_Type__c","LLC_BI__Renewal_Interest_Rate_Type__c","LLC_BI__Renewal_Interest_Rate__c","LLC_BI__Security_Deposit_Amount__c","LLC_BI__Single_Life_Expectancy_Begins__c","LLC_BI__Size_of_Box__c","LLC_BI__Step_Interest_Rate__c","LLC_BI__Step_Rate_Period_Type__c","LLC_BI__Step_Rate_Period__c","LLC_BI__Tax_Year_of_First_Roth_Contribution__c","LLC_BI__Tiered_Interest_Rate__c","LLC_BI__Tiered_Margin_Percent__c","LLC_BI__Vault_Key_Description__c","LLC_BI__Is_Superseded_By__c","LLC_BI__Related_Deposit__c","Doc_Prep__c","Loan_Providing_Overdraft__c","Overdraft_Limit__c","Overdraft_Used__c","Overdraft_Availability__c","Number_of_times_OD_in_Last_12_months__c","Reg_O__c","Employee__c","LLC_BI__Mailing_City__c","Withdrawls_previous_12_months__c","Is_Demo_Deposit__c","Date_Account_Closed__c","Amount_Charged_Off__c","LLC_BI__Mailing_State__c","LLC_BI__Mailing_Zip_Code__c","LLC_BI__Number_of_Required_Signers__c","LLC_BI__Originating_Branch__c","Default_App__c","LLC_BI__Interest_Payment_Method_Type__c","LLC_BI__Term_Type__c","CD_Term_new__c","Override_Interest_Rate__c","Interest_Rate_Override__c","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__Overdraft_Services__c","LLC_BI__Deposit_Account_Type__c","LLC_BI__E_Disclosures_And_Statement_Consent__c","LLC_BI__Electronic_Notice_Delivery_Consent__c","LLC_BI__Enable_Portal_Documents__c","LLC_BI__Exclude_Transaction_Account_Disclosure__c","LLC_BI__Routing_Number__c","WKDDP__Denial_Notice_Type__c","WKDDP__Joint_Owners_Have_ROS__c","WKDDP__MultiParty_Disclosure__c","WKDDP__Multiple_Party_Terms_Change__c","WKDDP__Temporary_Account_Agreement_Indictor__c","LLC_BI__Appointee_Capacity_Description__c","Initial_APY1__c","LLC_BI__Routing_Transit_Number__c","LLC_BI__Financial_Institution_Authorized_Signer__c","LLC_BI__Inherited_IRA__c","LLC_BI__Is_Booked__c","LLC_BI__Plan_Number__c","LLC_BI__TFA_Activity_Type__c","AutorabitExtId__c"
"a0D5w00000lnfeWEAQ","0055w00000BkiP4AAJ","","Savings3505","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","245055.85","","157248.0","0.5","","","2011-12-14","Personal","Personal Savings","Money Market Savings","Active","Open","","","","","9968JPD934363888","","314199377429","","","","","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","1 - One signature line","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeXEAQ","0055w00000BkiP4AAJ","","Retirement IRA - 6408","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","","","","","","1422254.67","","","1.05","2015-12-16","","2009-03-02","Personal","Retirement","SEP IRA","Open","Open","","","","","9985JPD879775710","","970204769435","","","","","","","1.1","","","","","","","","false","","false","","false","","","","false","","","false","SIMPLE IRA","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","1 - One signature line","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeYEAQ","0055w00000BkiP4AAJ","","Checking12312","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","21876.23","","","0.5","","","2010-10-28","Personal","Personal Checking","Platinum Checking Account","Active","Open","","","","","9994JPD126533186","","260414422976","","","","","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","true","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","0.0","false","false","","","true","","","","","1 - One signature line","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeZEAQ","0055w00000BkiP4AAJ","","Premier Business Checking","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","22497.81","","15000.0","0.5","","","2016-09-29","Business","Business Checking","Premier Business Checking","Active","Open","","","","","9975JPD204755338","","140730240966","","","","a3Q5w000003AI66EAG","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","2 - Two signature lines","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeaEAA","0055w00000BkiP4AAJ","","Promo CD","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","11874.56","","3000.0","1.05","2018-07-01","I can add my notes here.","2008-07-01","Business","Business CD","Promo CD","Active","Open","","","","","9980JPD356228548","","416744144101","","a3u5w000008XNshAAG","","a3Q5w000003AI65EAG","","","1.1","","","","","","","12","false","123.0","false","Daily","false","","","","false","","","false","","","","","","","1.5","false","","","","false","","Fixed","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","0.0","true","","","","","1 - One signature line","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","1.5113","","","false","false","","",""
"a0D5w00000lnfebEAA","0055w00000BkiP4AAJ","","Business Money Market Savings","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","109239.79","","50000.0","0.5","","Bud Stoddard is the only signer on this account","2007-05-31","Business","Business Savings","Business Money Market Savings","Active","Open","","","","","9939JPD638327730","","856796907928","","a3u5w000008XNsjAAG","","","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","1 - One signature line","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfecEAA","0055w00000BkiP4AAJ","","Business Money Market Savings","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","121874.56","","15000.0","0.5","","I can add my notes here.","1993-04-04","Business","Business Savings","Business Money Market Savings","Active","Open","","","","","9946JPD238912912","","621055264456","","a3u5w000008XNsgAAG","","a3Q5w000003AI65EAG","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","1 - One signature line","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfedEAA","0055w00000BkiP4AAJ","","Checking8784","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","52178.23","","87892.0","0.5","","","2003-12-20","Business","Business Checking","Premier Business Checking","Open","Active","","","","","9923JPD917609533","","282852038816","","","","","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","2 - Two signature lines","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeeEAA","0055w00000BkiP4AAJ","","Checking9456","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","11874.29","","231612.0","0.5","","","1984-01-01","Business","Business Checking","Premier Business Checking","Open","Active","","","","","9906JPD544044461","","637527919456","","","","a3Q5w000003AI65EAG","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","2 - Two signature lines","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfefEAA","0055w00000BkiP4AAJ","","Operating Account 37484","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","160229.3","","292824.0","0.5","","","2013-03-26","Business","Business Checking","Premier Business Checking","Open","Active","","","","","9955JPD188854151","","997142249884","","","","a3Q5w000003AI62EAG","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","1 - One signature line","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfegEAA","0055w00000BkiP4AAJ","","Checking4753","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","69285.58","","","0.5","","","2011-03-20","Personal","Personal Checking","Platinum Checking Account","Open","Active","","","","","9920JPD622457274","","729124484882","","","","","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","1 - One signature line","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfehEAA","0055w00000BkiP4AAJ","","Checking - 3004","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","","","","","","130444.44","","50000.0","0.5","2015-04-27","","2013-05-02","Business","Business Checking","Premier Business Checking","Active","Open","","","","","9992JPD583191909","","454260013004","","","","a3Q5w000003AI5wEAG","","","0.52","","","","","","","","false","","false","","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","true","","","","","2 - Two signature lines","","","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
